g    1    0       5.700000
g    1    1       7.400000
h    1    1     -25.900000
g    2    0     -11.000000
g    2    1      -7.000000
h    2    1     -30.200000
g    2    2      -2.100000
h    2    2     -22.400000
g    3    0       2.200000
g    3    1      -5.900000
h    3    1       6.000000
g    3    2       3.100000
h    3    2      -1.100000
g    3    3     -12.000000
h    3    3       0.500000
g    4    0      -1.200000
g    4    1      -1.600000
h    4    1      -0.100000
g    4    2      -5.900000
h    4    2       6.500000
g    4    3       5.200000
h    4    3       3.600000
g    4    4      -5.100000
h    4    4      -5.000000
g    5    0      -0.300000
g    5    1       0.500000
h    5    1       0.000000
g    5    2      -0.600000
h    5    2       2.500000
g    5    3       0.200000
h    5    3      -0.600000
g    5    4       1.300000
h    5    4       3.000000
g    5    5       0.900000
h    5    5       0.300000
g    6    0      -0.500000
g    6    1      -0.300000
h    6    1       0.000000
g    6    2       0.400000
h    6    2      -1.600000
g    6    3       1.300000
h    6    3      -1.300000
g    6    4      -1.400000
h    6    4       0.800000
g    6    5       0.000000
h    6    5       0.000000
g    6    6       0.900000
h    6    6       1.000000
g    7    0      -0.100000
g    7    1      -0.200000
h    7    1       0.600000
g    7    2       0.000000
h    7    2       0.600000
g    7    3       0.700000
h    7    3      -0.800000
g    7    4       0.100000
h    7    4      -0.200000
g    7    5      -0.500000
h    7    5      -1.100000
g    7    6      -0.800000
h    7    6       0.100000
g    7    7       0.800000
h    7    7       0.300000
g    8    0       0.000000
g    8    1       0.100000
h    8    1      -0.200000
g    8    2      -0.100000
h    8    2       0.600000
g    8    3       0.400000
h    8    3      -0.200000
g    8    4      -0.100000
h    8    4       0.500000
g    8    5       0.400000
h    8    5      -0.300000
g    8    6       0.300000
h    8    6      -0.400000
g    8    7      -0.100000
h    8    7       0.500000
g    8    8       0.400000
h    8    8       0.000000
g    9    0       0.000000
g    9    1       0.000000
h    9    1       0.000000
g    9    2       0.000000
h    9    2       0.000000
g    9    3       0.000000
h    9    3       0.000000
g    9    4       0.000000
h    9    4       0.000000
g    9    5       0.000000
h    9    5       0.000000
g    9    6       0.000000
h    9    6       0.000000
g    9    7       0.000000
h    9    7       0.000000
g    9    8       0.000000
h    9    8       0.000000
g    9    9       0.000000
h    9    9       0.000000
g   10    0       0.000000
g   10    1       0.000000
h   10    1       0.000000
g   10    2       0.000000
h   10    2       0.000000
g   10    3       0.000000
h   10    3       0.000000
g   10    4       0.000000
h   10    4       0.000000
g   10    5       0.000000
h   10    5       0.000000
g   10    6       0.000000
h   10    6       0.000000
g   10    7       0.000000
h   10    7       0.000000
g   10    8       0.000000
h   10    8       0.000000
g   10    9       0.000000
h   10    9       0.000000
g   10   10       0.000000
h   10   10       0.000000
g   11    0       0.000000
g   11    1       0.000000
h   11    1       0.000000
g   11    2       0.000000
h   11    2       0.000000
g   11    3       0.000000
h   11    3       0.000000
g   11    4       0.000000
h   11    4       0.000000
g   11    5       0.000000
h   11    5       0.000000
g   11    6       0.000000
h   11    6       0.000000
g   11    7       0.000000
h   11    7       0.000000
g   11    8       0.000000
h   11    8       0.000000
g   11    9       0.000000
h   11    9       0.000000
g   11   10       0.000000
h   11   10       0.000000
g   11   11       0.000000
h   11   11       0.000000
g   12    0       0.000000
g   12    1       0.000000
h   12    1       0.000000
g   12    2       0.000000
h   12    2       0.000000
g   12    3       0.000000
h   12    3       0.000000
g   12    4       0.000000
h   12    4       0.000000
g   12    5       0.000000
h   12    5       0.000000
g   12    6       0.000000
h   12    6       0.000000
g   12    7       0.000000
h   12    7       0.000000
g   12    8       0.000000
h   12    8       0.000000
g   12    9       0.000000
h   12    9       0.000000
g   12   10       0.000000
h   12   10       0.000000
g   12   11       0.000000
h   12   11       0.000000
g   12   12       0.000000
h   12   12       0.000000
g   13    0       0.000000
g   13    1       0.000000
h   13    1       0.000000
g   13    2       0.000000
h   13    2       0.000000
g   13    3       0.000000
h   13    3       0.000000
g   13    4       0.000000
h   13    4       0.000000
g   13    5       0.000000
h   13    5       0.000000
g   13    6       0.000000
h   13    6       0.000000
g   13    7       0.000000
h   13    7       0.000000
g   13    8       0.000000
h   13    8       0.000000
g   13    9       0.000000
h   13    9       0.000000
g   13   10       0.000000
h   13   10       0.000000
g   13   11       0.000000
h   13   11       0.000000
g   13   12       0.000000
h   13   12       0.000000
g   13   13       0.000000
h   13   13       0.000000
